"Time","F ext","Out 1","R","Theta"
"243.75","3757.29","4.0625","0.470047","88.7669"
"244.687","3828.96","4.14062","0.470346","88.7751"
"245.625","3829.88","4.14062","0.470483","88.7691"
"246.562","3829.92","4.14062","0.470486","88.7691"
"247.5","3829.95","4.14062","0.470493","88.7695"
"248.437","3829.99","4.14062","0.470498","88.7699"
"249.375","3901.45","4.21875","0.470797","88.7781"
"250.312","3902.67","4.21875","0.47094","88.7723"
"251.25","3902.68","4.21875","0.470954","88.7727"
"252.187","3902.7","4.21875","0.470962","88.7727"
"253.125","3902.69","4.21875","0.470968","88.7728"
"254.062","3974.25","4.29688","0.471258","88.7806"
"255","3975.02","4.29688","0.471395","88.7748"
"255.937","3975.03","4.29688","0.471408","88.7751"
"256.875","3975.02","4.29688","0.471412","88.7753"
"257.812","3975.04","4.29688","0.471415","88.7756"
"258.75","4046.56","4.375","0.471715","88.7832"
"259.687","4047.76","4.375","0.471854","88.778"
"260.625","4047.76","4.375","0.471867","88.778"
"261.562","4047.73","4.375","0.471871","88.7778"
"262.5","4047.75","4.375","0.471872","88.7777"
"263.437","4119.1","4.45312","0.472168","88.7851"
"264.375","4120.17","4.45312","0.472309","88.7799"
"265.312","4120.16","4.45312","0.472319","88.78"
"266.25","4120.18","4.45312","0.472329","88.7801"
"267.187","4120.17","4.45312","0.472335","88.78"
"268.125","4191.28","4.53125","0.472647","88.7871"
"269.062","4192.63","4.53125","0.472795","88.7822"
"270","4192.69","4.53125","0.472807","88.7825"
"270.937","4192.68","4.53125","0.472819","88.783"
"271.875","4192.73","4.53125","0.472827","88.7832"
"272.812","4263.86","4.60938","0.473122","88.7902"
"273.75","4265.1","4.60938","0.473259","88.7856"
"274.687","4265.14","4.60938","0.473269","88.786"
"275.625","4265.15","4.60938","0.473278","88.7863"
"276.562","4265.18","4.60938","0.473283","88.7864"
"277.5","4336.57","4.6875","0.473573","88.7932"
"278.437","4337.49","4.6875","0.473714","88.7888"
"279.375","4337.49","4.6875","0.47372","88.7888"
"280.312","4337.51","4.6875","0.473724","88.7889"
"281.25","4337.5","4.6875","0.473727","88.789"
"282.187","4409.21","4.76562","0.474019","88.7953"
"283.125","4409.94","4.76562","0.474157","88.7905"
"284.062","4409.91","4.76562","0.474169","88.7907"
"285","4409.94","4.76562","0.474169","88.7909"
"285.937","4409.92","4.76562","0.474173","88.7909"
"286.875","4481.46","4.84375","0.474463","88.7973"
"287.812","4482.83","4.84375","0.474601","88.7929"
"288.75","4482.88","4.84375","0.474613","88.7931"
"289.687","4482.9","4.84375","0.474617","88.7933"
"290.625","4482.9","4.84375","0.474623","88.7934"
"291.562","4554.21","4.92188","0.474921","88.7997"
"292.5","4554.99","4.92188","0.47506","88.7953"
"293.437","4555.02","4.92188","0.475072","88.7957"
"294.375","4555.05","4.92188","0.475081","88.7959"
"295.312","4555.05","4.92188","0.475088","88.7959"
"296.25","4626.09","5","0.475377","88.8021"
"297.187","4627","5","0.475515","88.7981"
"298.125","4627.01","5","0.475527","88.7984"
"299.062","4627.03","5","0.475531","88.7984"
"300","4627.03","5","0.475543","88.7982"
"300.937","4698.96","5.07812","0.475834","88.8038"
"301.875","4700.03","5.07812","0.475969","88.8001"
"302.812","4700.08","5.07812","0.475978","88.8001"
"303.75","4700.11","5.07812","0.475987","88.8003"
"304.687","4700.1","5.07812","0.475989","88.8005"
"305.625","4770.67","5.15625","0.47628","88.8059"
"306.562","4771.75","5.15625","0.476414","88.8025"
"307.5","4771.75","5.15625","0.476427","88.8027"
"308.437","4771.77","5.15625","0.476437","88.8027"
"309.375","4771.77","5.15625","0.476444","88.8029"
"310.312","4842.89","5.23438","0.476737","88.8085"
"311.25","4844.28","5.23438","0.476878","88.8048"
"312.187","4844.29","5.23438","0.476891","88.8049"
"313.125","4844.28","5.23438","0.476894","88.8047"
"314.062","4844.29","5.23438","0.4769","88.8046"
"315","4916.02","5.3125","0.477191","88.8103"
"315.937","4916.83","5.3125","0.47733","88.8068"
"316.875","4916.85","5.3125","0.47734","88.8071"
"317.812","4916.82","5.3125","0.477338","88.8072"
"318.75","4916.83","5.3125","0.477341","88.8072"
"319.687","4987.98","5.39062","0.477631","88.8122"
"320.625","4989.04","5.39062","0.477766","88.8085"
"321.562","4989.06","5.39062","0.477777","88.8087"
"322.5","4989.1","5.39062","0.477783","88.8091"
"323.437","4989.12","5.39062","0.477788","88.8092"
"324.375","5060.3","5.46875","0.478079","88.8141"
"325.312","5061.48","5.46875","0.478222","88.8106"
"326.25","5061.49","5.46875","0.478233","88.8104"
"327.187","5061.48","5.46875","0.478238","88.8102"
"328.125","5061.51","5.46875","0.478242","88.8104"
"329.062","5132.96","5.54688","0.478531","88.8156"
"330","5134.22","5.54688","0.478668","88.8123"
"330.937","5134.26","5.54688","0.478681","88.8127"
"331.875","5134.26","5.54688","0.478689","88.8129"
"332.812","5134.29","5.54688","0.478692","88.8128"
"333.75","5205.14","5.625","0.478987","88.8174"
"334.687","5206.05","5.625","0.479126","88.8139"
"335.625","5206.06","5.625","0.479136","88.8139"
"336.562","5206.05","5.625","0.47914","88.8139"
"337.5","5206.04","5.625","0.479145","88.8139"
"338.437","5277.71","5.70312","0.479436","88.8185"
"339.375","5278.66","5.70312","0.479571","88.8155"
"340.312","5278.7","5.70312","0.479585","88.8158"
"341.25","5278.76","5.70312","0.479596","88.8159"
"342.187","5278.77","5.70312","0.479601","88.8158"
"343.125","5350.14","5.78125","0.479891","88.8203"
"344.062","5350.94","5.78125","0.480024","88.8173"
"345","5350.92","5.78125","0.480039","88.8175"
"345.937","5350.94","5.78125","0.480048","88.8172"
"346.875","5350.89","5.78125","0.480051","88.8169"
"347.812","5421.73","5.85938","0.480351","88.8211"
"348.75","5423.12","5.85938","0.480502","88.818"
"349.687","5423.15","5.85938","0.480513","88.8182"
"350.625","5423.16","5.85938","0.480519","88.8186"
"351.562","5423.22","5.85938","0.480528","88.8186"
"352.5","5494.04","5.9375","0.480815","88.8228"
"353.437","5494.81","5.9375","0.480938","88.8191"
"354.375","5494.71","5.9375","0.480929","88.8184"
"355.312","5494.64","5.9375","0.480924","88.8178"
"356.25","5494.65","5.9375","0.480927","88.8177"
"357.187","5566","6.01562","0.481212","88.8221"
"358.125","5567.22","6.01562","0.481353","88.8194"
"359.062","5567.26","6.01562","0.48138","88.8198"
"360","5567.32","6.01562","0.481396","88.8202"
"360.937","5567.39","6.01562","0.481407","88.8204"
"361.875","5638.34","6.09375","0.481696","88.8245"
"362.812","5639.29","6.09375","0.481833","88.8218"
"363.75","5639.32","6.09375","0.481851","88.8221"
"364.687","5639.33","6.09375","0.481854","88.8223"
"365.625","5639.35","6.09375","0.481866","88.8222"
"366.562","5710.34","6.17188","0.482161","88.8258"
"367.5","5711.55","6.17188","0.482296","88.823"
"368.437","5711.59","6.17188","0.482306","88.8231"
"369.375","5711.6","6.17188","0.48231","88.8232"
